epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.272,1.35341,2.74612,1.54266,0.5267,0.02679,0.016,0.00302,2.99417,5.61527,5.16494,0.00161905,0.00161905,0.0692381
2,434.188,1.71594,2.74339,1.84639,0.51526,0.02408,0.00853,0.00252,3.16691,297.51,8.60705,0.00324234,0.00324234,0.0375281
3,629.63,1.75235,2.71991,1.85038,0.10462,0.06079,0.04282,0.01161,3.067,306.252,6.31656,0.00482164,0.00482164,0.00577402
4,855.703,1.76427,2.65404,1.88635,0.02743,0.43384,0.07695,0.02749,2.42488,124.402,4.19255,0.004802,0.004802,0.004802
5,1112,1.74224,2.56225,1.86128,0.25737,0.32269,0.07002,0.01785,2.42379,56.7655,4.262,0.004736,0.004736,0.004736
6,1336.49,1.73829,2.59549,1.88026,0.5616,0.09551,0.05479,0.02089,2.17644,8.26377,2.92483,0.00467,0.00467,0.00467
7,1561.47,1.64913,2.39256,1.80838,0.31411,0.07738,0.03444,0.00958,2.47316,6.10629,2.96759,0.004604,0.004604,0.004604
8,1777.1,1.69239,2.44184,1.83622,0.07805,0.39567,0.09942,0.04887,1.91523,4.95242,2.3914,0.004538,0.004538,0.004538
9,1967.35,1.60289,2.37305,1.79208,0.6865,0.16218,0.17017,0.08725,1.81561,5.08804,2.3133,0.004472,0.004472,0.004472
10,2182.79,1.58192,2.29573,1.72058,0.25309,0.3804,0.21802,0.10672,1.77057,3.0772,2.09785,0.004406,0.004406,0.004406
11,2403.84,1.59957,2.29086,1.73492,0.37233,0.33353,0.24818,0.09676,1.7965,4.11444,2.13575,0.00434,0.00434,0.00434
12,2629.64,1.51815,2.1989,1.69126,0.39221,0.37363,0.26334,0.12179,1.7116,2.79472,2.01756,0.004274,0.004274,0.004274
13,2865.23,1.54277,2.22549,1.68613,0.16866,0.49482,0.27628,0.11632,1.94415,3.46243,2.27944,0.004208,0.004208,0.004208
14,3077.09,1.5193,2.1653,1.70184,0.26923,0.51189,0.40472,0.19624,1.67164,2.81654,2.01484,0.004142,0.004142,0.004142
15,3272.19,1.47068,2.10513,1.67117,0.38143,0.43826,0.33332,0.14644,1.85164,2.66449,2.21327,0.004076,0.004076,0.004076
16,3463.38,1.549,2.13637,1.68473,0.29922,0.28682,0.25666,0.13813,1.77654,2.73931,2.07376,0.00401,0.00401,0.00401
17,3638.84,1.43703,2.07348,1.6373,0.46714,0.37243,0.36594,0.20766,1.76211,2.70321,2.08575,0.003944,0.003944,0.003944
18,3812.01,1.39699,2.08116,1.60946,0.53758,0.46354,0.45016,0.2545,1.52496,2.145,1.87321,0.003878,0.003878,0.003878
19,3981.7,1.41737,2.04571,1.61516,0.56456,0.36634,0.42992,0.25902,1.52818,2.3109,1.87491,0.003812,0.003812,0.003812
20,4155.99,1.37712,1.94526,1.57899,0.48934,0.48182,0.45723,0.24847,1.51256,2.54875,1.80877,0.003746,0.003746,0.003746
21,4328.78,1.37169,1.90594,1.56974,0.58243,0.43375,0.44513,0.22678,1.65189,2.42671,1.91692,0.00368,0.00368,0.00368
22,4501.78,1.35208,1.93352,1.55635,0.35348,0.41217,0.33205,0.20104,1.56716,2.24614,1.8086,0.003614,0.003614,0.003614
23,4677.55,1.34424,1.87705,1.55401,0.42144,0.42179,0.40968,0.22891,1.54458,2.1967,1.85828,0.003548,0.003548,0.003548
24,4861.12,1.34792,1.83232,1.53666,0.48442,0.5092,0.46225,0.27747,1.50964,2.01047,1.83891,0.003482,0.003482,0.003482
25,5039.46,1.32846,1.77763,1.5307,0.53791,0.55594,0.54448,0.29054,1.67666,1.99838,1.93452,0.003416,0.003416,0.003416
26,5211.69,1.35571,1.84537,1.56384,0.70494,0.4106,0.49664,0.28045,1.59732,1.96333,1.88174,0.00335,0.00335,0.00335
27,5385.32,1.32414,1.78018,1.53116,0.47571,0.33545,0.38718,0.22729,1.68317,2.45757,1.96762,0.003284,0.003284,0.003284
28,5555.08,1.32898,1.82057,1.54539,0.59204,0.39614,0.46583,0.27087,1.6398,2.38903,1.94272,0.003218,0.003218,0.003218
29,5723.72,1.33519,1.74941,1.5518,0.42942,0.50596,0.47559,0.28792,1.5757,2.04112,1.82427,0.003152,0.003152,0.003152
30,5904.45,1.2912,1.75729,1.53058,0.5645,0.46697,0.50278,0.33212,1.45882,1.92093,1.77386,0.003086,0.003086,0.003086
31,6079.12,1.26854,1.66532,1.49353,0.74602,0.41293,0.55207,0.32699,1.53597,1.94147,1.87075,0.00302,0.00302,0.00302
32,6263.39,1.25568,1.6768,1.48527,0.68429,0.43326,0.50371,0.32872,1.36693,2.06936,1.70757,0.002954,0.002954,0.002954
